Date,City,Type,Count
2/25/2020,Karachi,PM 2.5,152
2/26/2020,Karachi,PM 2.5,109
2/27/2020,Karachi,PM 2.5,109
2/28/2020,Karachi,PM 2.5,117
2/29/2020,Karachi,PM 2.5,105
3/1/2020,Karachi,PM 2.5,158
3/2/2020,Karachi,PM 2.5,144
3/3/2020,Karachi,PM 2.5,156
3/4/2020,Karachi,PM 2.5,111
3/5/2020,Karachi,PM 2.5,94
3/6/2020,Karachi,PM 2.5,96
3/7/2020,Karachi,PM 2.5,150
3/8/2020,Karachi,PM 2.5,139
3/9/2020,Karachi,PM 2.5,108
3/10/2020,Karachi,PM 2.5,111
3/11/2020,Karachi,PM 2.5,103
3/12/2020,Karachi,PM 2.5,83
3/13/2020,Karachi,PM 2.5,154
3/14/2020,Karachi,PM 2.5,152
3/15/2020,Karachi,PM 2.5,169
3/16/2020,Karachi,PM 2.5,145
3/17/2020,Karachi,PM 2.5,135
3/18/2020,Karachi,PM 2.5,147
3/19/2020,Karachi,PM 2.5,157
3/20/2020,Karachi,PM 2.5,108
3/21/2020,Karachi,PM 2.5,81
3/22/2020,Karachi,PM 2.5,70
3/23/2020,Karachi,PM 2.5,66
3/24/2020,Karachi,PM 2.5,72
3/25/2020,Karachi,PM 2.5,52
3/26/2020,Karachi,PM 2.5,88
3/27/2020,Karachi,PM 2.5,72
3/28/2020,Karachi,PM 2.5,69
3/29/2020,Karachi,PM 2.5,66
3/30/2020,Karachi,PM 2.5,80
3/31/2020,Karachi,PM 2.5,92
4/1/2020,Karachi,PM 2.5,61
4/2/2020,Karachi,PM 2.5,70
4/3/2020,Karachi,PM 2.5,102
4/4/2020,Karachi,PM 2.5,96
